Term,Definition,Context,Level
Associative table,"An associative table is a table in a database that is used to resolve a many-to-many relationship.

A relational database cannot directly resolve a many-to-many relationship, so an associative table (often called a joiner table) is used to create two (2)  one-to-many relationships.",Databases,
Asymmetric encryption,"A cryptographic system that uses pairs of keys: 

public keys which may be disseminated widely 

private keys which are known only to the owner

This is theprimary encryption used in internet communications",Security,
Asynchronous code,"Code that doesn't necessarily run from top to bottom.

Asynchronous means that we can run code in parallel. And multiple tasks can be processed at the same time. When an asynchronous process is completed, the results are returned to the main thread.

This is what we do in JavaScript when we make a call to a WebAPI - The website can continue to process while we wait on the results from the API.",JS,
Attribute,Often used interchangeably with property,,
Autoboxing,"Boxing is when value type (primitive in Java) needs to be stored on the heap.

5 is an integer, and is managed on the stack.

int? is a reference type (Nullable<int>) and is managed on the heap.

The following code takes an int and boxes it into a reference type.
int? number = 5;

Unboxing is a similar operation but in the opposite direction.",OOP,
Automated testing,Running testing code that either simulates user interactions with the program being tested or directly calls the methods of the program being tested,Testing,
BETWEEN conditional,"SQL - This is a construct that is used in SQL statements in a WHERE clause. It allows you to specify a range.

SELECT *
FROM Products
WHERE price BETWEEN 10 AND 20",Databases,
BigO notation,"BigO notation is a pre-defined set of metrics that allows you to specify the efficiency of an algorithm.

The notation takes into account 2 things
- Time complexity: how long does the code take to run
- Space complexity: how much memory is required to run the algorithm

All algorithms can run quickly with small datasets, the question that BigO notation answers is, how efficient will it be with large datasets (at scale)

The bottom line... is your process fast enough?",Algorithms,
Binary search,A searching algorithm used in a sorted array by repeatedly dividing the search interval in half,Collections,
Block,"A grouped/contained section of code that performs a certain action or actions.

Variables declared within a block of code are only accessible within that block. This is called scope.",C#,
Boolean,"A boolean is a data type that can hold one of two possible values: true or false

Booleans are used to make decisions in programming. They are used in if, while or for statements.",C#,
Branch,"Branches are used in git repositories and allow you to change code in a sandboxed environment. 

This means that you can change code without affecting the base code.

Once you are finished changing your code, you can merge the changes to the base branch.",Git,
Browser,"A tool for navigating the internet (""browsing"" its contents)",Web,
Bug,"A bug in your code is an error in your logic.

The term comes from the early days in computing when an operator of the Mark II traced an error back to a moth that was trapped in a relay. The ""bug"" was removed from the relay and taped to the log book.

And that moth became the first bog in programming.",Code,
byte,A byte is an 8-bit numeric data type used to hold integers (-128 to 127),C#,
C: drive,The core of a computer's hard disk containing its operating system and related system files,Windows,
Callback (function),"In asynchronous programming when a process is launched on a new thread, that process needs to know how to notify the original (main) thread, that the process has completed.

A callback function is the function that the new thread calls when it has completed it's work.",JavaScript,
Cardinality,"Databases - The maximum number of times an instance in one entity can be associated with an instance in the related entity

This is used in ER Diagrams to indicate the business rules of your database struncture.

Examples:
One - to - Many
One - to - Zero or More(many)
One - to - Zero to Three

[contrast: ordinality]",Databases,
Casting (type casting),"Casting is the process of converting an object of one data type to another data type.

long bigNumber = 150;
int littleNumber = (int)bigNumber;",C#,
char (character),A value type (primitive in Java) data type that holds a single character,C#,
Child class,"A class that inherits from another class (the parent or base class)

The child inherits all of the properties and functionality of the base class, and therefore IS the same type as the base class. This is what is meant by an IS-A relationship.

A CheckingAccount IS-A BankAccount. Therefore without writing any additional code a CheckingAccount has all of the capabilities of a BankAccount. The code within the CheckingAccount then focuses on what makes CheckingAccount different from any other BankAccount.",OOP,
Child element,HTML works on a hierarchical structure. Elements can be nested within other HTML elements. This is a parent-child relationship. A child is then a descendant of its parent.,HTML,
Class,"A class is a blueprint of what an object can become. It is a template that defines a new DataType.

Just like a blueprint of a house can not be used like a real house, a class in C# cannot be use like a real object. It is a template that must first be created before it can be used.

A class defines what information (variables) and functionality (methods) the object will have, once it has been created.",OOP,
Clause (WHERE Clause),A WHERE clause is a conditional statement that is used to specify how the results of a query will be filtered.,SQL,
CLI,"A CLI is a command line interface. It is text-based (non-graphical) program that uses only a terminal as a UI (User Interface).

CLI's are used to create a simple UI for common computing tasks that don't require a complex visual interface. Often for internal use applications.",C#,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
